Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,country,description,extra_price_native,extra_user_info,guests_included,has_agreed_to_legal_terms,host_id,house_rules,in_building,instant_bookable,interaction,is_location_exact,lat,lng,max_nights,min_nights,monthly_price_factor,native_currency,neighborhood,neighborhood_overview,notes,person_capacity,photo_url,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,room_type_category,space,square_feet,star_rating,transit,url,weekly_price_factor
True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,3010966,Отдельная комната,2.0,Диван-кровать,1.0,1.0,flexible,Togliatti,,,"Уютная комната в трёх комнатной квартире. Будем рады мототуристам... и всем остальным! :)

Если будет возможность то покажу город и окрестности, Жигулёвские горы и заповедник. У нас очень-очень красивые места.

Квартира в 500 мертах от самого большого района города и основных магазинов, парка, но находиться в деревне в очень тихом и уютном местечке.

Отличное. В любую точку города.",,,1,,5515322,,False,False,"Если будет возможность то покажу город и окрестности, Жигулёвские горы и заповедник. У нас очень-очень красивые места.",True,53.50870257799285,49.23739906239376,3,1,1.0,RUB,,,,2,,2,0,342,Квартира,False,,,,,,,0,Отдельная комната,private_room,,,,Отличное. В любую точку города.,https://www.airbnb.com/rooms/3010966,1.0
False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,10775411,"Хостел Славный, 250руб. 8-местн. комн, м.Безымянка",2.0,Настоящая кровать,1.0,8.0,flexible,Samara,,,"Весеннее снижение цен! Рядом с м. Безымянка и пл. Кирова, близко СК ""Грация"", д/к им. Литвинова, ТРК ""Вива-ленд"", больница Семашко, Строительные и Вещевой рынок. Часть города близкая к аэропорту и удобная транспортная развязка. Спокойное и безопасное размещение",,,1,True,20411551,"Милые Гости, мы заботимся о вашем спокойствии и безопасности, В Славном Хостеле употребление спиртных напитков строго запрещено!",False,True,,False,53.215406754528225,50.248302382538974,1125,1,0.6,RUB,,,,16,,9,0,399,Кондоминиум,False,10.0,10.0,10.0,10.0,10.0,10.0,6,Общая комната,shared_room,,,5.0,,https://www.airbnb.com/rooms/10775411,0.9
True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,False,True,2550400,"Хостел Like Самара - уютно,как дома",4.0,Настоящая кровать,8.0,16.0,flexible,Samara,,,"Хостел находится в особняке в самом сердце Самары. Это идеальное место для ночлега одного в командировке, компаний и семейных пар в путешествии. Для Вас комфортные номера на 2, 8 и 10 чел. с полностью оборудованными кухнями и ванными и наша улыбка :)

Хостел располагает интерьерными комфортабельными номерами: общие номера (на 8 и 10 чел.) с выходом на балкон и двухместные номера с двухъярусной или с одной большой кроватью. Есть стеллажи, шкафы, локеры и ящики на ключе для хранения вещей, сейф у администратора. На кроватях в общих номерах шторки для уединения.  Всего - 38 мест к размещению. 

Летом замечательно устраивать барбекю на свежем воздухе во дворе на террасе. Для всех номеров предусмотрены общие ванные комнаты с  туалетом (есть джакузи, фен, стиральная машинка, сушилка, гладильные принадлежности). Гостиные для отдыха с TV, игровой приставкой, книгами и камином. Полностью оборудованные кухни - холодильник, микроволновка, тостер, блендер, чай/кофе. На всей территории бесплатный Wi-Fi. Постельное белье и полотенце. Уборка в номерах. Алкоголь/наркотики, нецензурная брань - запрещены.

В Хостеле всегда работает администратор. Все гости порядочные.

Район очень красивый и спокойный - дома 19-21хх веков. 
Рядом шикарная набережная и Речной вокзал. В шаговой доступности красивая пешеходная улица ""Арбат"", площадь Революции, супермаркеты, торговые центры, столовые и кафе. Хорошая транспортная развязка.
Из достопримечательностей совсем близко расположились: Филармония, самая большая площадь в Европе - Куйбышева с театром оперы и балета, бункер Сталина и театр драмы, зеленые парки для прогулки и отдыха, ну и конечно, пивоваренный завод. 
Эти места легко посетить во время прогулки.

Парковка под окнами. Район спокойный. Хорошая транспортная развязка - легко добраться из любого района города. Из аэропорта лучше ехать на такси. Такси для Вас закажет наш администратор.

Приятные скидки для больших групп, студентов и при размещении на длительный срок. 98% гостей в восторге - мы гордимся за тот домашний уют, который дарим гостям :)",,,1,True,13057992,"В Хостеле есть правила и условия проживания: соблюдение тишины в ночное время, запрещено нахождение в алкогольном/наркотическом употреблении. Размещение с детьми до 5ти лет и животными обговаривается индивидуально с администрацией хостела. При регистрации заезда гостем вносится залог в размере 500 руб. Залог возвращается при выезде с возвратом постельного белья и полотенца, а также если правила проживания не нарушены и не было порчи мебели и др. имущества.",False,True,В Хостеле всегда работает администратор. Все гости порядочные.,True,53.187904082588275,50.086717202447446,1125,1,1.0,RUB,,,"Приятные скидки для больших групп, студентов и при размещении на длительный срок. 98% гостей в восторге - мы гордимся за тот домашний уют, который дарим гостям :)",16,,59,450,512,Гестхаус,False,9.0,9.0,9.0,9.0,9.0,9.0,14,Дом/квартира целиком,entire_home,"Хостел располагает интерьерными комфортабельными номерами: общие номера (на 8 и 10 чел.) с выходом на балкон и двухместные номера с двухъярусной или с одной большой кроватью. Есть стеллажи, шкафы, локеры и ящики на ключе для хранения вещей, сейф у администратора. На кроватях в общих номерах шторки для уединения.  Всего - 38 мест к размещению. ",,4.5,Парковка под окнами. Район спокойный. Хорошая транспортная развязка - легко добраться из любого района города. Из аэропорта лучше ехать на такси. Такси для Вас закажет наш администратор.,https://www.airbnb.com/rooms/2550400,1.0
False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,10775411,"Хостел Славный, 250руб. 8-местн. комн, м.Безымянка",2.0,Настоящая кровать,1.0,8.0,flexible,Samara,,,"Весеннее снижение цен! Рядом с м. Безымянка и пл. Кирова, близко СК ""Грация"", д/к им. Литвинова, ТРК ""Вива-ленд"", больница Семашко, Строительные и Вещевой рынок. Часть города близкая к аэропорту и удобная транспортная развязка. Спокойное и безопасное размещение",,,1,True,20411551,"Милые Гости, мы заботимся о вашем спокойствии и безопасности, В Славном Хостеле употребление спиртных напитков строго запрещено!",False,True,,False,53.215406754528225,50.248302382538974,1125,1,0.6,RUB,,,,16,,9,0,399,Кондоминиум,False,10.0,10.0,10.0,10.0,10.0,10.0,6,Общая комната,shared_room,,,5.0,,https://www.airbnb.com/rooms/10775411,0.9
True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,False,True,2550400,"Хостел Like Самара - уютно,как дома",4.0,Настоящая кровать,8.0,16.0,flexible,Samara,,,"Хостел находится в особняке в самом сердце Самары. Это идеальное место для ночлега одного в командировке, компаний и семейных пар в путешествии. Для Вас комфортные номера на 2, 8 и 10 чел. с полностью оборудованными кухнями и ванными и наша улыбка :)

Хостел располагает интерьерными комфортабельными номерами: общие номера (на 8 и 10 чел.) с выходом на балкон и двухместные номера с двухъярусной или с одной большой кроватью. Есть стеллажи, шкафы, локеры и ящики на ключе для хранения вещей, сейф у администратора. На кроватях в общих номерах шторки для уединения.  Всего - 38 мест к размещению. 

Летом замечательно устраивать барбекю на свежем воздухе во дворе на террасе. Для всех номеров предусмотрены общие ванные комнаты с  туалетом (есть джакузи, фен, стиральная машинка, сушилка, гладильные принадлежности). Гостиные для отдыха с TV, игровой приставкой, книгами и камином. Полностью оборудованные кухни - холодильник, микроволновка, тостер, блендер, чай/кофе. На всей территории бесплатный Wi-Fi. Постельное белье и полотенце. Уборка в номерах. Алкоголь/наркотики, нецензурная брань - запрещены.

В Хостеле всегда работает администратор. Все гости порядочные.

Район очень красивый и спокойный - дома 19-21хх веков. 
Рядом шикарная набережная и Речной вокзал. В шаговой доступности красивая пешеходная улица ""Арбат"", площадь Революции, супермаркеты, торговые центры, столовые и кафе. Хорошая транспортная развязка.
Из достопримечательностей совсем близко расположились: Филармония, самая большая площадь в Европе - Куйбышева с театром оперы и балета, бункер Сталина и театр драмы, зеленые парки для прогулки и отдыха, ну и конечно, пивоваренный завод. 
Эти места легко посетить во время прогулки.

Парковка под окнами. Район спокойный. Хорошая транспортная развязка - легко добраться из любого района города. Из аэропорта лучше ехать на такси. Такси для Вас закажет наш администратор.

Приятные скидки для больших групп, студентов и при размещении на длительный срок. 98% гостей в восторге - мы гордимся за тот домашний уют, который дарим гостям :)",,,1,True,13057992,"В Хостеле есть правила и условия проживания: соблюдение тишины в ночное время, запрещено нахождение в алкогольном/наркотическом употреблении. Размещение с детьми до 5ти лет и животными обговаривается индивидуально с администрацией хостела. При регистрации заезда гостем вносится залог в размере 500 руб. Залог возвращается при выезде с возвратом постельного белья и полотенца, а также если правила проживания не нарушены и не было порчи мебели и др. имущества.",False,True,В Хостеле всегда работает администратор. Все гости порядочные.,True,53.187904082588275,50.086717202447446,1125,1,1.0,RUB,,,"Приятные скидки для больших групп, студентов и при размещении на длительный срок. 98% гостей в восторге - мы гордимся за тот домашний уют, который дарим гостям :)",16,,59,450,512,Гестхаус,False,9.0,9.0,9.0,9.0,9.0,9.0,14,Дом/квартира целиком,entire_home,"Хостел располагает интерьерными комфортабельными номерами: общие номера (на 8 и 10 чел.) с выходом на балкон и двухместные номера с двухъярусной или с одной большой кроватью. Есть стеллажи, шкафы, локеры и ящики на ключе для хранения вещей, сейф у администратора. На кроватях в общих номерах шторки для уединения.  Всего - 38 мест к размещению. ",,4.5,Парковка под окнами. Район спокойный. Хорошая транспортная развязка - легко добраться из любого района города. Из аэропорта лучше ехать на такси. Такси для Вас закажет наш администратор.,https://www.airbnb.com/rooms/2550400,1.0
True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,False,True,9066905,"Славный Хостел 490руб.- 6 местные, м. Безымянка",2.0,Настоящая кровать,1.0,6.0,flexible,Samara,,,"390 руб. проживание в 8-м номере! Уютный и теплый Хостел со всеми удобствами, комнаты на 2,4,6 и 8 мест. Кухня, душ, туалет, круглосуточный заезд. Рядом магазины, кафе, пл. Кирова, ТЦ Вива Ленд, Грация, Строительный и Вещевой рынок, Б-ца Семашко, 7 минут. пешком до метро и транспортной развязки на ост. Безымянка!

Можем принимать большие группы до 100 человек, и в то же время можем создать уют и спокойную обстановку одному и несколько гостям. Здание раньше было профилакторием.

Кухня-столовая, 2 душевые комнаты, туалет, место для отдыха.

Круглосуточная стойка регистрации гостей. 
Постоянно в Хостеле присутствует администратор и обеспечивает контроль за порядком и безопасностью.

Хостел находится в 7 мин. пешком от метро ""Безымянка"" (можно доехать за 15 мин. до набережной р. Волга), 10 мин. пешком до ТЦ ""Вива-Лэнд"" и спорткомплекса ""Грация"", рядом больница Семашко,  строительный (Птичий) и вещевой рынки, близко к пл. Кирова, железнодорожная станция Безымянка.

Остановка метро Безымянка.

От Железнодорожного вокзала 19 мин. на маршрутке 126
от Железнодорожного вокзала также Маршрутка  (PHONE NUMBER HIDDEN)

Метро Безымянка остановка общественного транспорта:
Маршруты автобусов
34 Завод Металлург-пл. Революции
41 Микрорайон 15А (ул. Алма-Атинская)-Высоцкого
55к Красных Коммунаров - 9-й микрорайон
55н Рынок Норд - 9-й микрорайон
55 (час пик) Завод Экран- 9-й микрорайон
68 (вых. дни) СПТУ-50- Станция метро Победа
68 (раб. дни) Красная Глинка- Станция метро Победа
75 Автостанция Аврора -Аэропорт 2

Маршрут Троллейбусов
7 Завод Металлург-Стахановская (троллейбус)
8 (вых.дни) Барбошина Поляна - 2Стахановская (троллейбус)

Маршрутное такси 
124к Рынок Норд- Смышляевка (автобус)
126с ЦУМ Самара- г. Кинель
126ю ЦУМ Самара- г. Кинель
131 Ж/д вокзал (автобус)- пос. Алексеевка
205 Речной вокзал (автобус)-ТЦ Мега Икеа
210 Губернский рынок-Управленческий
217 Стадион Динамо (ул. Братьев Коростелевых)-Транзитная
226 Хлебная пл.- Солнечная (5-я просека)
240 Кинотеатр Луч - пл. Революции
247 6-й причал-Завод Экран
253 Кинотеатр Луч-Рынок Норд
272 Метро Безымянка-Санаторий Волга
281 Приволжский микрорайон-Институт Индустройпроект
34 Стадион Металлург-Хлебная пл.
480 Ж/д вокзал (автобус)-Петра Дубрава
74м (474) Станция метро Победа-пос. Алексеевка
89 НФС-Дзержинского

Стоимость номеров за сутки с 1 человека: 
8 местные -390 руб.
6 местные - 490 руб., 
4 местные – 590 руб., 
2 местные -990 руб. за 1 чел.+200руб. за 2го человека",,,1,True,20411551,"Мы заботимся о спокойствии и безопасности наших Гостей, поэтому употребление спиртного на территории Хостела запрещено. 
Работает экстренный вызов службы безопасности.
Установлена система пожарной безопасности.",False,True,"Круглосуточная стойка регистрации гостей. 
Постоянно в Хостеле присутствует администратор и обеспечивает контроль за порядком и безопасностью.",True,53.21513197237575,50.248509484164316,1125,1,,RUB,,,"Стоимость номеров за сутки с 1 человека: 
8 местные -390 руб.
6 местные - 490 руб., 
4 местные – 590 руб., 
2 местные -990 руб. за 1 чел.+200руб. за 2го человека",6,,14,0,626,Кондоминиум,False,10.0,,10.0,8.0,10.0,,1,Отдельная комната,private_room,"Можем принимать большие группы до 100 человек, и в то же время можем создать уют и спокойную обстановку одному и несколько гостям. Здание раньше было профилакторием.
",,,"Остановка метро Безымянка.

От Железнодорожного вокзала 19 мин. на маршрутке 126
от Железнодорожного вокзала также Маршрутка  (PHONE NUMBER HIDDEN)

Метро Безымянка остановка общественного транспорта:
Маршруты автобусов
34 Завод Металлург-пл. Революции
41 Микрорайон 15А (ул. Алма-Атинская)-Высоцкого
55к Красных Коммунаров - 9-й микрорайон
55н Рынок Норд - 9-й микрорайон
55 (час пик) Завод Экран- 9-й микрорайон
68 (вых. дни) СПТУ-50- Станция метро Победа
68 (раб. дни) Красная Глинка- Станция метро Победа
75 Автостанция Аврора -Аэропорт 2

Маршрут Троллейбусов
7 Завод Металлург-Стахановская (троллейбус)
8 (вых.дни) Барбошина Поляна - 2Стахановская (троллейбус)

Маршрутное такси 
124к Рынок Норд- Смышляевка (автобус)
126с ЦУМ Самара- г. Кинель
126ю ЦУМ Самара- г. Кинель
131 Ж/д вокзал (автобус)- пос. Алексеевка
205 Речной вокзал (автобус)-ТЦ Мега Икеа
210 Губернский рынок-Управленческий
217 Стадион Динамо (ул. Братьев Коростелевых)-Транзитная
226 Хлебная пл.- Солнечная (5-я просека)
240 Кинотеатр Луч - пл. Революции
247 6-й причал-Завод Экран
253 Кинотеатр Луч-Рынок Норд
272 Метро Безымянка-Санаторий Волга
281 Приволжский микрорайон-Институт Индустройпроект
34 Стадион Металлург-Хлебная пл.
480 Ж/д вокзал (автобус)-Петра Дубрава
74м (474) Станция метро Победа-пос. Алексеевка
89 НФС-Дзержинского",https://www.airbnb.com/rooms/9066905,0.9
True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,17263101,"The Hostel - уютно, как дома",2.5,Настоящая кровать,4.0,16.0,flexible,Samara,,,"Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники, семьи (с детьми), большие группы и мохнатые друзья (животные).",,,1,True,13057992,"- Режим тишины с 23:00 до 09:00, чтобы наши гости могли выспаться
- Запрет на употребление алкогольных и наркотических веществ, ровно как и нахождение в состоянии опьянения",False,True,,True,53.18785124300686,50.08672439496461,1125,1,0.51,RUB,,,,16,,3,0,569,Хостел,False,,,,,,,0,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/17263101,0.79
False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,14805923,НеТолькоХостел рядом с автовокзалом для женщин,2.5,Настоящая кровать,1.0,6.0,flexible,Samara,,,"Рядом парк им.Ю.Гагарина где по утрам можно летом бегать, а зимой ходить на лыжах.Это идеальное место для прогулки с детьми. Недалеко Ботанический Сад с оранжереей и Загородный парк с выходом на пляж.  МТЛ Арена и ДК Современник, где часто проходят соревнования и кастинги. Торгово-развлекательные центры с боулингом и кинотеатром. Нас окружают несколько ВУЗов. Прямой транспорт до Аквапарка и Зоопарка. Мое жилье подходит для этого: соло-путешественники, деловые путешественники и большие группы.

Уютная комната для женщин(от 1 до 6 человек, три  двухъярусных кровати) с добротным ремонтом. Возле каждой кровати предусмотрены электрические розетки, WI-FI. Двери и окна деревянные, на полу паркет. Домашняя атмосфера. В хостеле есть все необходимое: вы сможете отдохнуть, приготовить пищу, принять душ, постирать и погладить вещи. Удобное расположение в центре города. Великолепная транспортная развязка. Всегда есть  места, где поставить личную машину.

Гости хостела могут воспользоваться просторной гостиной с диванами, где можно покушать, поиграть и просто пообщаться. Кухня, с набором посуды для приготовления и сервировки, а также техника для приготовления и хранения пищи. Три санузла.

По запросу, гость получает подробную информацию о том, куда можно сходить или как проехать до нужного места.

В пяти минутах парк им. Ю.Гагарина. Совсем рядом находится вход в ботанический сад. В 20 минутах Загородный парк с самыми разными развлечениями: от каруселей и пикника на зеленом склоне холма до поездок на велосипеде с горы летом и сноуборде зимой. 
В летнее время действует благоустроенный пляж с раздевалками и биотулатами. Но при этом по сравнению с городским вода там чище, а количество людей несравнимо меньше.

Хостел расположена в географическом центре, где прекрасная транспортная развязка. Удобно добраться до ЖД и автовокзала (около 10-15 минут на общественном транспорте). В аэропорт Курумоч можно добраться на маршрутном такси. С Московского шоссе и ул. Ново-Садовая можно уехать практически в любую точку Самары.

Запрещено на территории распивать спиртные напитки и находиться в состоянии алкогольного опьянения.
Нельзя с питомцами.
Без вечеринок и мероприятий.
У нас в доме не курят, курить можно на площадке. 
Так как это обычная жилая квартира, у нас соблюдается тишина с 20-00до 8-00. Мы рассчитываем на бережное отношение к мебели и ремонту. В хостеле есть все удобства, чтоб комфортно поесть, выпить чай и пообщаться на кухне или гостиной, поэтому будем рады, если вы не будете уносить еду в спальные комнаты, ставить на пол стаканы из под чая ,которые оставляют круглые разводы.",,,1,True,83581694,"- Спиртное на территории запрещено
- Курить можно на лестничной площадке между 5 и 6 этажом",False,True,"По запросу, гость получает подробную информацию о том, куда можно сходить или как проехать до нужного места.",True,53.23034515243157,50.188519777604206,1125,1,0.51,RUB,,,"Запрещено на территории распивать спиртные напитки и находиться в состоянии алкогольного опьянения.
Нельзя с питомцами.
Без вечеринок и мероприятий.
У нас в доме не курят, курить можно на площадке. 
Так как это обычная жилая квартира, у нас соблюдается тишина с 20-00до 8-00. Мы рассчитываем на бережное отношение к мебели и ремонту. В хостеле есть все удобства, чтоб комфортно поесть, выпить чай и пообщаться на кухне или гостиной, поэтому будем рады, если вы не будете уносить еду в спальные комнаты, ставить на пол стаканы из под чая ,которые оставляют круглые разводы.",6,,13,667,626,Общежитие,False,,,,,,,0,Общая комната,shared_room,"Уютная комната для женщин(от 1 до 6 человек, три  двухъярусных кровати) с добротным ремонтом. Возле каждой кровати предусмотрены электрические розетки, WI-FI. Двери и окна деревянные, на полу паркет. Домашняя атмосфера. В хостеле есть все необходимое: вы сможете отдохнуть, приготовить пищу, принять душ, постирать и погладить вещи. Удобное расположение в центре города. Великолепная транспортная развязка. Всегда есть  места, где поставить личную машину.",,,"Хостел расположена в географическом центре, где прекрасная транспортная развязка. Удобно добраться до ЖД и автовокзала (около 10-15 минут на общественном транспорте). В аэропорт Курумоч можно добраться на маршрутном такси. С Московского шоссе и ул. Ново-Садовая можно уехать практически в любую точку Самары.",https://www.airbnb.com/rooms/14805923,0.79
False,True,False,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,13305430,Уютный Хостел в исторической части города Самара,2.0,Настоящая кровать,1.0,16.0,flexible,Samara,,,"Рядом пляж, набережная, отличные вид, театры, кинотеатры, кафе и рестораны, музеи и банки. У нас могут проживать пары, соло-путешественники, деловые путешественники, семьи (с детьми) и большие группы. На групповые и длительные заселения предоставляются скидки.

Хостел оснащен всем необходимым для удобного и комфортного проживания. Гости обеспечиваются постельным бельем и полотенцами, которые входят в стоимость проживания. Два совмещенных санузла (душевые кабины) в коридоре. Общая кухня оборудована всей необходимой бытовой техникой, посудой, столовыми приборами. В зоне отдыха - диван, телевизор, игровая приставка, настольные игры, библиотека. На всей территории хостела - бесплатный WiFi. Имеются шкафчики с ключом (локеры) для хранения вещей. 
Стойка регистрации работает круглосуточно. 
Возможен трансфер по предварительной договоренности.

Хостел находится в историческом центре Самары, в пяти минутах ходьбы от набережной. В шаговой доступности кинотеатры, кафе, рестораны, банки, сетевые магазины, торговый центр, парк.

Рядом удобная транспортная развязка, позволяющая добраться практически в любой конец города. 

Парковка общая, предварительное резервирование места не требуется.",,,1,,75163773,"- Возможность заезда с животными обговаривается отдельно для каждого постояльца
- Запрещено заселяться и находиться в Хостеле в Алкогольном, наркотическом опьянении",False,True,,True,53.18521173429539,50.083066324061676,60,1,0.85,RUB,,,,16,,9,0,569,Хостел,False,,,,,,,0,Общая комната,shared_room,"Хостел оснащен всем необходимым для удобного и комфортного проживания. Гости обеспечиваются постельным бельем и полотенцами, которые входят в стоимость проживания. Два совмещенных санузла (душевые кабины) в коридоре. Общая кухня оборудована всей необходимой бытовой техникой, посудой, столовыми приборами. В зоне отдыха - диван, телевизор, игровая приставка, настольные игры, библиотека. На всей территории хостела - бесплатный WiFi. Имеются шкафчики с ключом (локеры) для хранения вещей. 
Стойка регистрации работает круглосуточно. 
Возможен трансфер по предварительной договоренности.",,,"Рядом удобная транспортная развязка, позволяющая добраться практически в любой конец города. 

Парковка общая, предварительное резервирование места не требуется.",https://www.airbnb.com/rooms/13305430,0.9
True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,14173086,City Hostel | Samara,1.5,Настоящая кровать,1.0,10.0,flexible,Samara,,,"Рядом с нашим хостелом есть общественный транспорт и ночная жизнь. Вам понравится, ведь у нас удобные кровати, светлые номера, тихий спальный район и кухня. City Hostel подходит для: пар, соло-путешественников, деловых поездок и семей (с детьми).",,,1,True,85806758,,False,True,,True,53.21449758580799,50.162876572238595,1125,1,0.51,RUB,,,,16,,5,0,626,Другое,False,,,,,,,0,Общая комната,shared_room,,,,,https://www.airbnb.com/rooms/14173086,0.79
